run_accession	experiment_accession	sample_accession	scientific_name	instrument_model	read_count	study_title	experiment_alias	fastq_md5	fastq_ftp	sample_alias
ERR5644713	ERX5360213	SAMEA8491803	Homo sapiens	Illumina HiSeq 2500	197028108	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-3	4bc3952b0a6ddcd6ff25528e6f1ad131;2ed14f727fcba47a3c4bb15d8b7852c9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644713/ERR5644713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644713/ERR5644713_2.fastq.gz	Sample_B83_0003
ERR5644714	ERX5360214	SAMEA8491804	Homo sapiens	Illumina HiSeq 2500	205455448	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-4	e9d6712ef9790e852de74494aee6acd7;be50f0f8f3368af792dbdedc89cc6baf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644714/ERR5644714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644714/ERR5644714_2.fastq.gz	Sample_B83_0004
ERR5644715	ERX5360215	SAMEA8491805	Homo sapiens	Illumina HiSeq 2500	194014036	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-5	c169ba74aaa8b52e1ac04563c9526b67;6a62c087571ded1205b7860a96d7f479	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644715/ERR5644715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644715/ERR5644715_2.fastq.gz	Sample_B83_0005
ERR5644716	ERX5360216	SAMEA8491806	Homo sapiens	Illumina HiSeq 2500	209619282	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-6	6ae9d291c4224c88437cfc310f15946c;4f8e480df627a82970404b43b851dee8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644716/ERR5644716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644716/ERR5644716_2.fastq.gz	Sample_B83_0006
ERR5644719	ERX5360219	SAMEA8491809	Homo sapiens	Illumina HiSeq 2500	189055664	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-9	43132a52abb775a85de6c10706c69971;7c6b67c2b95953fc159e48af7a05e1c7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644719/ERR5644719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644719/ERR5644719_2.fastq.gz	Sample_B83_1009
ERR5644724	ERX5360224	SAMEA8491814	Homo sapiens	Illumina HiSeq 2500	245709320	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-14	a3fed594661593070605e3b6d90e062b;acc031e5cbaa88fc33cfb353fb89aee0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644724/ERR5644724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644724/ERR5644724_2.fastq.gz	Sample_B83_0014
ERR5644725	ERX5360225	SAMEA8491815	Homo sapiens	Illumina HiSeq 2500	245699032	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-15	c105134fb477293eaeacd73a23d52831;43b7639d9266b6f90f5252ad6aa7de69	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644725/ERR5644725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644725/ERR5644725_2.fastq.gz	Sample_B83_0015
ERR5644729	ERX5360229	SAMEA8491819	Homo sapiens	Illumina HiSeq 2500	173346960	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-19	1097d51418a9e36c2d87ac18954a2885;c6e71f67371932cac41f5185a5058bb2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644729/ERR5644729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644729/ERR5644729_2.fastq.gz	Sample_B83_0019
ERR5644731	ERX5360231	SAMEA8491821	Homo sapiens	Illumina HiSeq 2500	164321270	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-21	f415e870e24bf3bb8747260d9e2e85a5;89e25d370ab6310d124950f362a4e067	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644731/ERR5644731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644731/ERR5644731_2.fastq.gz	Sample_B83_0021
ERR5644735	ERX5360235	SAMEA8491825	Homo sapiens	Illumina HiSeq 2500	153569762	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:333-25	f532d8c6c26b556057e89018c1310f10;5a8a5622765aef1b102cf9a63fed0436	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644735/ERR5644735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644735/ERR5644735_2.fastq.gz	Sample_B83_0025
ERR5644739	ERX5360239	SAMEA8491829	Homo sapiens	Illumina HiSeq 2500	141550986	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:334-29	da153b0800d8445f5fb125191437e343;4b90eef974a8a90b6d19d30252a05e63	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644739/ERR5644739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/009/ERR5644739/ERR5644739_2.fastq.gz	Sample_B83_0029
ERR5644741	ERX5360241	SAMEA8491831	Homo sapiens	Illumina HiSeq 2500	184364252	The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ena-EXPERIMENT-INSTITUTE OF CANCER RESEARCH-31-03-2021-20:57:16:334-31	d184aa8eb41171e11ccff5945b5e3f67;155757074c74caeca8c499fbcac72fc7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644741/ERR5644741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644741/ERR5644741_2.fastq.gz	Sample_B83_0031
