study_title	run_accession	experiment_accession	sample_accession	scientific_name	sample_alias	instrument_model	fastq_md5	fastq_ftp
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644711	ERX5360211	SAMEA8491801	Homo sapiens	Sample_B83_0001	Illumina HiSeq 2500	4559681ab4e1d008af35ae223d770166;583cd52aa9541ebf031a457a248523ac	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644711/ERR5644711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644711/ERR5644711_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644712	ERX5360212	SAMEA8491802	Homo sapiens	Sample_B83_0002	Illumina HiSeq 2500	f6ff8022f22d3384503312d98e4f294d;fbaf339991160dfa3945ca5c639d66fa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644712/ERR5644712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/002/ERR5644712/ERR5644712_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644713	ERX5360213	SAMEA8491803	Homo sapiens	Sample_B83_0003	Illumina HiSeq 2500	4bc3952b0a6ddcd6ff25528e6f1ad131;2ed14f727fcba47a3c4bb15d8b7852c9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644713/ERR5644713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/003/ERR5644713/ERR5644713_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644714	ERX5360214	SAMEA8491804	Homo sapiens	Sample_B83_0004	Illumina HiSeq 2500	e9d6712ef9790e852de74494aee6acd7;be50f0f8f3368af792dbdedc89cc6baf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644714/ERR5644714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/004/ERR5644714/ERR5644714_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644715	ERX5360215	SAMEA8491805	Homo sapiens	Sample_B83_0005	Illumina HiSeq 2500	c169ba74aaa8b52e1ac04563c9526b67;6a62c087571ded1205b7860a96d7f479	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644715/ERR5644715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/005/ERR5644715/ERR5644715_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644716	ERX5360216	SAMEA8491806	Homo sapiens	Sample_B83_0006	Illumina HiSeq 2500	6ae9d291c4224c88437cfc310f15946c;4f8e480df627a82970404b43b851dee8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644716/ERR5644716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/006/ERR5644716/ERR5644716_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644717	ERX5360217	SAMEA8491807	Homo sapiens	Sample_B83_0007	Illumina HiSeq 2500	79c9cf3664db20f221250c14416df17c;00e20792b55bed6eea5001a92ffc6974	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644717/ERR5644717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/007/ERR5644717/ERR5644717_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644718	ERX5360218	SAMEA8491808	Homo sapiens	Sample_B83_0008	Illumina HiSeq 2500	23a4ff2d260299051bfef70c9c6726b4;ad1a14f47cd714a0717b824af9b742a7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644718/ERR5644718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/008/ERR5644718/ERR5644718_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644720	ERX5360220	SAMEA8491810	Homo sapiens	Sample_B83_0010	Illumina HiSeq 2500	0b74f2c03d0bc01fa7c8ea9d5b7ff5d8;71e55f53a9cd99ad7cad315748aa846a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644720/ERR5644720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/000/ERR5644720/ERR5644720_2.fastq.gz
The Mutational Concordance of Fixed Formalin Paraffin Embedded and Fresh Frozen Gastro-oesophageal Tumours Using Whole Exome Sequencing	ERR5644721	ERX5360221	SAMEA8491811	Homo sapiens	Sample_B83_0011	Illumina HiSeq 2500	98aca5d94d0e0657c75e614a8b437a7e;b6162ee34f35f1c0717733b28a62f61c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644721/ERR5644721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR564/001/ERR5644721/ERR5644721_2.fastq.gz
