study_title	sample_number	sample_type	run_accession	experiment_accession	sample_accession	scientific_name	sample_alias	instrument_model	fastq_md5	fastq_ftp
WES of 13 FFPE breast tumor samples and 13 corresponding frozen samples	1	FFPE	SRR1523243	SRX659779	SAMN02934181	Homo sapiens	BGI-FFPE1	Illumina HiSeq 2000	5cc183bc8031a1d2b146f338e76f8ea3;ff101edc3daf57d41395dcbc0c9e8da3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1523243/SRR1523243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1523243/SRR1523243_2.fastq.gz
WES of 13 FFPE breast tumor samples and 13 corresponding frozen samples	1	FFPE	SRR1523257	SRX659793	SAMN02934181	Homo sapiens	BGI-FFPE1	Illumina HiSeq 2000	036fb379a1074d7a372352c9260cbe24;c5f3ee550a4018946694a83603573664	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1523257/SRR1523257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1523257/SRR1523257_2.fastq.gz
WES of 13 FFPE breast tumor samples and 13 corresponding frozen samples	1	FFPE	SRR1523263	SRX659799	SAMN02934181	Homo sapiens	BGI-FFPE1	Illumina HiSeq 2000	f9d7fab8c2072118b68dc925f179106a;f7e1da1803ca9dcadd2d0e491b1abe64	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1523263/SRR1523263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1523263/SRR1523263_2.fastq.gz
WES of 13 FFPE breast tumor samples and 13 corresponding frozen samples	1	FROZ	SRR1523230	SRX659766	SAMN02934168	Homo sapiens	BGI-FROZ1	Illumina HiSeq 2000	729546d1d43d8d97f441ce553e544727;8ceca36bfaeb2ec59fb6649cf003ec70	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1523230/SRR1523230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1523230/SRR1523230_2.fastq.gz
WES of 13 FFPE breast tumor samples and 13 corresponding frozen samples	2	FFPE	SRR1523244	SRX659780	SAMN02934182	Homo sapiens	BGI-FFPE2	Illumina HiSeq 2000	32793cef24679667017bf7a5d364e44e;91b215c751daef1ae8b1c20c5e5befdf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1523244/SRR1523244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1523244/SRR1523244_2.fastq.gz
WES of 13 FFPE breast tumor samples and 13 corresponding frozen samples	2	FFPE	SRR1523264	SRX659800	SAMN02934182	Homo sapiens	BGI-FFPE2	Illumina HiSeq 2000	d2370f2e36302d091722b0e39d2fe123;8d728be2e3e3da60706d79d6c285f758	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1523264/SRR1523264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1523264/SRR1523264_2.fastq.gz
WES of 13 FFPE breast tumor samples and 13 corresponding frozen samples	2	FROZ	SRR1523231	SRX659767	SAMN02934169	Homo sapiens	BGI-FROZ2	Illumina HiSeq 2000	cb83c124d8370b78cdd7d725ee44028e;f65eaecf9a382a8939b639da304c9300	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1523231/SRR1523231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1523231/SRR1523231_2.fastq.gz
WES of 13 FFPE breast tumor samples and 13 corresponding frozen samples	3	FROZ	SRR1523240	SRX659776	SAMN02934178	Homo sapiens	BGI-FROZ3	Illumina HiSeq 2000	1a53bc5402125072b95bace710818333;aa439cdc2246c059749f0e0dda98bf4b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1523240/SRR1523240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1523240/SRR1523240_2.fastq.gz
WES of 13 FFPE breast tumor samples and 13 corresponding frozen samples	3	FFPE	SRR1523251	SRX659787	SAMN02934189	Homo sapiens	BGI-FFPE3	Illumina HiSeq 2000	c3ea74da894508c310e38469e6a2e9f6;265eb6de33773c0a3d882e8b4576f9eb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1523251/SRR1523251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1523251/SRR1523251_2.fastq.gz
WES of 13 FFPE breast tumor samples and 13 corresponding frozen samples	3	FFPE	SRR1523269	SRX659805	SAMN02934189	Homo sapiens	BGI-FFPE3	Illumina HiSeq 2000	d8c5891864f75c1bbb8cd30cfac1ece8;54b5a2f811a10248b5aa2994a4a2ab76	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1523269/SRR1523269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1523269/SRR1523269_2.fastq.gz
