run_accession	experiment_accession	sample_accession	scientific_name	instrument_model	read_count	study_title	experiment_alias	run_alias	fastq_md5	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR2911438	SRX1423878	SAMN04251526	Homo sapiens	Illumina HiSeq 2000	65955622	Homo sapiens Genome sequencing	EOH_WES_FFPE	WES_EOH_FFPE_BAM	83b7d179e086b5156c57df5a9fc57875;5ab6a63a65579e7c16e0c6b7eb07a7c3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2911438/SRR2911438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2911438/SRR2911438_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR291/008/SRR2911438	T1_FFPE	Human sample from Homo sapiens	
SRR2911441	SRX1423882	SAMN04251528	Homo sapiens	Illumina HiSeq 2000	66078545	Homo sapiens Genome sequencing	EOH_WES_S11_normal	EOH_WES_S11_N_bam	9a47a162086130d181d872f645576188;5f24ff90f609f88013ba5e81352c420d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2911441/SRR2911441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2911441/SRR2911441_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR291/001/SRR2911441	N2_frozen	Human sample from Homo sapiens	
SRR2911459	SRX1423901	SAMN04251537	Homo sapiens	Illumina HiSeq 2000	48998044	Homo sapiens Genome sequencing	EOH_WES_JTL_2010	EOH_WES_JTL_2010_bam	136138ba0940bd55a199e3f729d6b4d7;ec15eec364bdc53032d3c5a3136517f9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2911459/SRR2911459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2911459/SRR2911459_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR291/009/SRR2911459	T4_frozen	Human sample from Homo sapiens	
SRR2911443	SRX1423886	SAMN04251530	Homo sapiens	Illumina HiSeq 2000	96015835	Homo sapiens Genome sequencing	EOH_WES_S11_frozen	EOH_WES_S11_frozen_bam	572ad9941c859452a092ee4cf6cbec3d;b5835aa77a1e362ea884e4a06152eac5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2911443/SRR2911443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2911443/SRR2911443_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR291/003/SRR2911443	T2_frozen	Human sample from Homo sapiens	
SRR2911437	SRX1423874	SAMN04251525	Homo sapiens	Illumina HiSeq 2000	25158111	Homo sapiens Genome sequencing	EOH_WES	EOH_WES_bam	4fa8bff46fa4d97746264075495b4ace;c455a97428d7bf0c61bef58a65dedf2f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2911437/SRR2911437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2911437/SRR2911437_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR291/007/SRR2911437	N1_blood	Human sample from Homo sapiens	
SRR2911447	SRX1423892	SAMN04251532	Homo sapiens	Illumina HiSeq 2000	60127295	Homo sapiens Genome sequencing	EOH_WES_S12_FFPE	EOH_WES_S12_FFPE_bam	0c9b71c4e44fb0bc7a6b00b5e3c6c5f4;d34ab980c05a5b6578c54bc4d52908a7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2911447/SRR2911447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2911447/SRR2911447_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR291/007/SRR2911447	T3_FFPE	Human sample from Homo sapiens	
SRR2911450	SRX1423895	SAMN04251533	Homo sapiens	Illumina HiSeq 2000	82517695	Homo sapiens Genome sequencing	EOH_WES_S12_frozen	EOH_WES_S12_frozen_bam	384e2d46d897207f74b1220a8860d1bb;1d6c8b21e81716fd5e36e95d6ea4c8c2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2911450/SRR2911450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2911450/SRR2911450_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR291/000/SRR2911450	T3_frozen	Human sample from Homo sapiens	
SRR2911440	SRX1423880	SAMN04251527	Homo sapiens	Illumina HiSeq 2000	88209027	Homo sapiens Genome sequencing	EOH_WES_frozen	EOH_WES_frozen	0efe7f129dc3ff182263f4c46b83b81e;232e3a7986513ca7b82aeccf13f7733a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2911440/SRR2911440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2911440/SRR2911440_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR291/000/SRR2911440	T1_frozen	Human sample from Homo sapiens	
SRR2911456	SRX1423899	SAMN04251535	Homo sapiens	Illumina HiSeq 2000	61365037	Homo sapiens Genome sequencing	EOH_WES_JTL_2007	EOH_WES_JTL_2007_bam	3440168ee2edd0ef24c9a31b11475e4e;f504a75b545cff8688b2c9d46b70d3e1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2911456/SRR2911456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2911456/SRR2911456_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR291/006/SRR2911456	T4_2007_FFPE	Human sample from Homo sapiens	
SRR2911442	SRX1423883	SAMN04251529	Homo sapiens	Illumina HiSeq 2000	66477282	Homo sapiens Genome sequencing	EOH_WES_S11_FFPE	EOH_WES_S11_FFPE_bam	27b77fd2070c9614fac84ed39eeacdd6;ae1a4f7c3eb4dc574a0894fc2fe6fb28	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2911442/SRR2911442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2911442/SRR2911442_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR291/002/SRR2911442	T2_FFPE	Human sample from Homo sapiens	
