inferred_id	sample_type	FFPE_count	FF_count
DLD1	Cellline	0	1
HCT116	Cellline	0	1
HEK293T	Cellline	0	1
HS68	Cellline	0	1
HT55	Cellline	0	1
HUH7	Cellline	0	1
Pat01	Meta	1	1
Pat02	Meta	1	0
Pat03	Meta	1	1
Pat04	Prim	1	0
Pat04	Meta	1	1
Pat05	Meta	1	0
Pat05	Prim	1	0
Pat06	Meta	1	0
Pat08	Meta	1	1
Pat09	Meta	1	1
Pat10	Meta	1	1
Pat10	Prim	1	0
Pat11	Meta	1	1
Pat11	Prim	1	0
Pat12	Meta	1	1
Pat13	Meta	1	1
Pat13-2nd-run	Meta	0	1
Pat14	Meta	1	1
Pat14	Prim	1	0
Pat15	Meta	0	1
Pat16	Cellline	0	1
Pat16	Meta	0	1
Pat17	Meta	0	1
Pat18	Meta	0	1
Primary-1	Blood	0	1
Primary-1	Cellline	0	1
SW480	Cellline	0	1
