"sample_id"	"variant_caller"	"model"	"auroc"	"auprc"
"Pat01_Meta_FFPE_ERR791893"	"MuTect2"	"mobsnvf"	0.903846153846154	0.0883922109376343
"Pat01_Meta_FFPE_ERR791893"	"MuTect2"	"vafsnvf"	0.951923076923077	0.166666666666668
"Pat01_Meta_FFPE_ERR791893"	"MuTect2"	"sobdetector"	0.115384615384616	0.0103165767567953
"Pat01_Meta_FFPE_ERR791893"	"MuTect2"	"microsec"	0.0576923076923079	0.00987910598522034
"Pat03_Meta_FFPE_ERR791895"	"MuTect2"	"mobsnvf"	0.669354838709677	0.0667952055522517
"Pat03_Meta_FFPE_ERR791895"	"MuTect2"	"vafsnvf"	0.685483870967741	0.121447454685819
"Pat03_Meta_FFPE_ERR791895"	"MuTect2"	"sobdetector"	0.387096774193548	0.0243776394288828
"Pat03_Meta_FFPE_ERR791895"	"MuTect2"	"microsec"	0.306451612903225	0.0213542986000654
"Pat04_Meta_FFPE_ERR791896"	"MuTect2"	"mobsnvf"	0.875	0.158819392120438
"Pat04_Meta_FFPE_ERR791896"	"MuTect2"	"vafsnvf"	0.9625	0.400000000000007
"Pat04_Meta_FFPE_ERR791896"	"MuTect2"	"sobdetector"	0.2125	0.0285316611564144
"Pat04_Meta_FFPE_ERR791896"	"MuTect2"	"microsec"	0.3125	0.0329927712760883
"Pat08_Meta_FFPE_ERR791901"	"MuTect2"	"mobsnvf"	0.525862068965517	0.0655238980693184
"Pat08_Meta_FFPE_ERR791901"	"MuTect2"	"vafsnvf"	0.508620689655172	0.0625337210885433
"Pat08_Meta_FFPE_ERR791901"	"MuTect2"	"sobdetector"	0.474137931034483	0.060528290090834
"Pat08_Meta_FFPE_ERR791901"	"MuTect2"	"microsec"	0.336206896551723	0.0465678286167842
"Pat09_Meta_FFPE_ERR791902"	"MuTect2"	"mobsnvf"	0.461538461538462	0.0129263251590275
"Pat09_Meta_FFPE_ERR791902"	"MuTect2"	"vafsnvf"	0.461538461538462	0.0129263251590275
"Pat09_Meta_FFPE_ERR791902"	"MuTect2"	"sobdetector"	0.6	0.018867924528302
"Pat09_Meta_FFPE_ERR791902"	"MuTect2"	"microsec"	0.0153846153846154	0.00769322377172276
"Pat10_Meta_FFPE_ERR791903"	"MuTect2"	"mobsnvf"	0.854166666666667	0.203833745280718
"Pat10_Meta_FFPE_ERR791903"	"MuTect2"	"vafsnvf"	0.75	0.164943112851821
"Pat10_Meta_FFPE_ERR791903"	"MuTect2"	"sobdetector"	0.34375	0.0556659613148476
"Pat10_Meta_FFPE_ERR791903"	"MuTect2"	"microsec"	0.416666666666666	0.0639854315216023
"Pat11_Meta_FFPE_ERR791905"	"MuTect2"	"mobsnvf"	0.948717948717949	0.306852756940062
"Pat11_Meta_FFPE_ERR791905"	"MuTect2"	"vafsnvf"	0.974358974358974	0.5
"Pat11_Meta_FFPE_ERR791905"	"MuTect2"	"sobdetector"	0.102564102564103	0.0266573831213431
"Pat11_Meta_FFPE_ERR791905"	"MuTect2"	"microsec"	0.352564102564102	0.0359939382423986
"Pat12_Meta_FFPE_ERR791907"	"MuTect2"	"mobsnvf"	0.983870967741935	0.450693707517863
"Pat12_Meta_FFPE_ERR791907"	"MuTect2"	"vafsnvf"	0.963709677419355	0.290284661778686
"Pat12_Meta_FFPE_ERR791907"	"MuTect2"	"sobdetector"	0.129032258064517	0.0173387785354062
"Pat12_Meta_FFPE_ERR791907"	"MuTect2"	"microsec"	0.306451612903225	0.0213542986000654
"Pat14_Meta_FFPE_ERR791909"	"MuTect2"	"mobsnvf"	0.442857142857143	0.0442635145954355
"Pat14_Meta_FFPE_ERR791909"	"MuTect2"	"vafsnvf"	0.442857142857143	0.0442635145954355
"Pat14_Meta_FFPE_ERR791909"	"MuTect2"	"sobdetector"	0.628571428571429	0.0714285714285706
"Pat14_Meta_FFPE_ERR791909"	"MuTect2"	"microsec"	0.514285714285714	0.0555555555555567
